TaskId,IssueUrl,Status
T085,https://github.com/QBS2026/Nabadat-Product/issues/326,created
T086,https://github.com/QBS2026/Nabadat-Product/issues/327,created
T087,https://github.com/QBS2026/Nabadat-Product/issues/328,created
T088,https://github.com/QBS2026/Nabadat-Product/issues/329,created
T089,https://github.com/QBS2026/Nabadat-Product/issues/330,created
T090,https://github.com/QBS2026/Nabadat-Product/issues/331,created
T091,https://github.com/QBS2026/Nabadat-Product/issues/332,created
T092,https://github.com/QBS2026/Nabadat-Product/issues/333,created
T093,https://github.com/QBS2026/Nabadat-Product/issues/334,created
T094,https://github.com/QBS2026/Nabadat-Product/issues/335,created
T095,https://github.com/QBS2026/Nabadat-Product/issues/336,created
T096,https://github.com/QBS2026/Nabadat-Product/issues/337,created
T097,https://github.com/QBS2026/Nabadat-Product/issues/338,created
T098,https://github.com/QBS2026/Nabadat-Product/issues/339,created
T099,https://github.com/QBS2026/Nabadat-Product/issues/340,created
T100,https://github.com/QBS2026/Nabadat-Product/issues/341,created
T101,https://github.com/QBS2026/Nabadat-Product/issues/342,created
T102,https://github.com/QBS2026/Nabadat-Product/issues/343,created
T103,https://github.com/QBS2026/Nabadat-Product/issues/344,created
T104,https://github.com/QBS2026/Nabadat-Product/issues/345,created
T105,https://github.com/QBS2026/Nabadat-Product/issues/346,created
T106,https://github.com/QBS2026/Nabadat-Product/issues/347,created
T107,https://github.com/QBS2026/Nabadat-Product/issues/348,created
T108,https://github.com/QBS2026/Nabadat-Product/issues/349,created
T109,https://github.com/QBS2026/Nabadat-Product/issues/350,created
T110,https://github.com/QBS2026/Nabadat-Product/issues/351,created
T111,https://github.com/QBS2026/Nabadat-Product/issues/352,created
T112,https://github.com/QBS2026/Nabadat-Product/issues/353,created
T113,https://github.com/QBS2026/Nabadat-Product/issues/354,created
T114,https://github.com/QBS2026/Nabadat-Product/issues/355,created
T115,https://github.com/QBS2026/Nabadat-Product/issues/356,created
T116,https://github.com/QBS2026/Nabadat-Product/issues/357,created
T117,https://github.com/QBS2026/Nabadat-Product/issues/358,created
T118,https://github.com/QBS2026/Nabadat-Product/issues/359,created
T119,https://github.com/QBS2026/Nabadat-Product/issues/360,created
T120,https://github.com/QBS2026/Nabadat-Product/issues/361,created
T121,https://github.com/QBS2026/Nabadat-Product/issues/362,created
T122,https://github.com/QBS2026/Nabadat-Product/issues/363,created
T123,https://github.com/QBS2026/Nabadat-Product/issues/364,created
T124,https://github.com/QBS2026/Nabadat-Product/issues/365,created
T125,https://github.com/QBS2026/Nabadat-Product/issues/366,created
T126,https://github.com/QBS2026/Nabadat-Product/issues/367,created
T127,https://github.com/QBS2026/Nabadat-Product/issues/368,created
T127a,https://github.com/QBS2026/Nabadat-Product/issues/369,created
T128,https://github.com/QBS2026/Nabadat-Product/issues/370,created
T129,https://github.com/QBS2026/Nabadat-Product/issues/371,created
T130,https://github.com/QBS2026/Nabadat-Product/issues/372,created
T131,https://github.com/QBS2026/Nabadat-Product/issues/373,created
T132,https://github.com/QBS2026/Nabadat-Product/issues/374,created
T133,https://github.com/QBS2026/Nabadat-Product/issues/375,created
T134,https://github.com/QBS2026/Nabadat-Product/issues/376,created
T135,https://github.com/QBS2026/Nabadat-Product/issues/377,created
T136,https://github.com/QBS2026/Nabadat-Product/issues/378,created
T137,https://github.com/QBS2026/Nabadat-Product/issues/379,created
T138,https://github.com/QBS2026/Nabadat-Product/issues/380,created
T139,https://github.com/QBS2026/Nabadat-Product/issues/381,created
T140,https://github.com/QBS2026/Nabadat-Product/issues/382,created
T141,https://github.com/QBS2026/Nabadat-Product/issues/383,created
T142,https://github.com/QBS2026/Nabadat-Product/issues/384,created
T143,https://github.com/QBS2026/Nabadat-Product/issues/385,created
T144,https://github.com/QBS2026/Nabadat-Product/issues/386,created
T145,https://github.com/QBS2026/Nabadat-Product/issues/387,created
T146,https://github.com/QBS2026/Nabadat-Product/issues/388,created
T147,https://github.com/QBS2026/Nabadat-Product/issues/389,created
T148,https://github.com/QBS2026/Nabadat-Product/issues/390,created
T149,https://github.com/QBS2026/Nabadat-Product/issues/391,created
T150,https://github.com/QBS2026/Nabadat-Product/issues/392,created
T151,https://github.com/QBS2026/Nabadat-Product/issues/393,created
T152,https://github.com/QBS2026/Nabadat-Product/issues/394,created
T153,https://github.com/QBS2026/Nabadat-Product/issues/395,created
T154,https://github.com/QBS2026/Nabadat-Product/issues/396,created
T155,https://github.com/QBS2026/Nabadat-Product/issues/397,created
T156,https://github.com/QBS2026/Nabadat-Product/issues/398,created
